105,小龙坎老火锅（楚州万达店）,11：00-次日02：00,0517-83829777,江苏省淮安市淮安区御景城21号楼商铺
106,小龙坎老火锅（育红路店）,（筹备中）,,浙江省温州市乐清市虹桥镇育红路280号
107,小龙坎老火锅（安德利广场店）,11:00-21:30,0553-6157777,安徽省芜湖市无为县凤河与同心路交口无为安德利广场5#-F1-02
108,小龙坎老火锅（兴府路店）,11：00-21：30,0517-88210099,江苏省淮安市盱眙县兴府路西夜市明珠斜对面五墩社区停车场房屋二层及楼下三间
109,小龙坎老火锅（天宁店）,9：30-次日02：00,0578-2138877,浙江省丽水市莲都区宇雷北路142号二层
110,小龙坎老火锅(新黄山商业街店),11:00-00:00,0559-2325808,安徽省黄山市屯溪区新黄山商业街C区1幢2号，C区1-4号，C区1幢3号
111,小龙坎老火锅(巢湖步行街店),11:00-次日02:00,0551-82367977,安徽省合肥市巢湖市信泰人民路商业步行街人民路3号一楼28-18、28-19、28-20号商铺
112,小龙坎老火锅（东湖店）,,,江苏省淮安市经济开发区深圳路9号
113,小龙坎老火锅（玉城店）,09:00-次日02:00,0576-87351777,浙江省台州市玉城街道上段村上段大厦
114,小龙坎老火锅（健康路店）,11：00-次日02：00,0517-89366767,江苏省淮安市健康东路中鑫.上城A区131号133号
115,小龙坎老火锅（北京中路店）,09:30-21:30,0562-2661777,安徽省铜陵市铜官区北京中路486号
116,小龙坎老火锅（润天.百悦广场店）,11：00-次日01：00,0517-82585777,江苏省淮安市涟水县“百悦温泉会馆”1层东侧
117,小龙坎老火锅(清远路店),10:30-05:00,0577-61665757,浙江省温州市乐清市乐成街道清远路163号群楼二层
118,小龙坎老火锅（水亭门店）,10：00-次日02：00,0570-8885655,浙江省衢州市柯城区县西街130-15号、130-16号，县西街168号一层部分商铺共3间
119,小龙坎老火锅（柳市店）,,,浙江省温州市乐清市柳市镇惠丰路147号
120,小龙坎老火锅（翔来店）,10:30-次日04:00,0577-61617676,浙江省温州市乐清市柳市镇翔来路118号二楼
121,小龙坎老火锅（圣旨街店）,,,浙江省丽水市青田县鹤城街道圣旨街18号店面一间和二楼店铺
122,小龙坎老火锅（茗月店）,10：00-次日02：00,19857815777,浙江省丽水市遂昌县妙高街道古院G（2014）29号地铁财富大厦（维也纳国际酒店）一楼电梯南侧区域
123,小龙坎老火锅（明光店）  ,9:30-21:30,0550-8106677,安徽省滁州市明光市明珠路100号盛唐现代城
124,小龙坎老火锅（万象城店）,10:00-次日02:00,0577-88112520,浙江省温州市瓯海区南白象街道温瑞大道999号温州万象城商业街层S140.S142-144.S179-182号商铺
125,小龙坎老火锅（冠城商厦店）,09:00-21:00,0550-4656888,安徽省滁州市定远县曲阳大街165号冠城商厦101室
126,小龙坎老火锅（同辉广场店）,10:30-次日01:00,0566-2024777,安徽省池州市贵池区长江中路同辉广场新西街三楼
127,小龙坎老火锅（吾悦广场店）,,,安徽省合肥市肥东县新城吾悦广场吾福印巷S6120、101铺
128,小龙坎老火锅（瑞安店）  ,09:00-次日02:00,0577-66888520,浙江省温州市瑞安市安阳路2-1-9号
129,小龙坎老火锅（花园口国际广场店）,11：00-21：30,0527-89897799,江苏省宿迁市泗洪县泗州中大街13号4F4-420号商铺
130,小龙坎老火锅（中心城店）,10:00-23:30,0551-87088977,安徽省合肥市庐江县庐江中心城29号楼一楼102、二楼101-107、109
131,小龙坎老火锅（宝业广场店）,,,安徽省合肥市瑶海区宝业·东城时代广场三层C区334-339号、387号
132,小龙坎老火锅（金榜华府店）,9.00-22.00,0518-85657777,江苏省连云港市灌云县云山中路西侧金榜华府17幢102、103商铺
133,小龙坎老火锅（淮河路步行街店）,11:00-次日01:00,0551-65550829,安徽省合肥市庐阳区淮河路步行街新天地广场C座
134,小龙坎老火锅（宁国路店）,10:30-次日04:00,0551-63665818,安徽省合肥市包河区宁国路与九华山路交口大宁缤购商业广场10#楼2层
135,小龙坎老火锅（老报馆店）,10:00-次日02:00,0551-65605520,安徽省合肥市庐阳区金寨路206号老报馆.新月光休闲文化广场1号楼D区二层东侧
136,小龙坎老火锅（国购店）,11:00-22:00,0551-63480880,安徽省合肥市蜀山区长江西路199号园购物广场商3-009号商铺
137,小龙坎老火锅（中央商场店）,,,江苏省宿迁市沭阳县人民中路48号中央商场，铺位号6B04
138,小龙坎老火锅（中环城店）,10:00-22:00,0551-65561668,安徽省合肥市经济开发区繁华大道南、翡翠路西中环城购物中心二期三层2号
